Id,Label,Followers Count,Friends Count,Created at,Protected,Location,Verified,Listed count,Favorites count,Status count,Default profile,Default profile image
1202288300939239424,Sportowy_Kanal,22308,6,2019-12-04 18:07:41,False,0.0,False,20.0,161.0,76.0,True,False
922155116,Mietczynski,35754,388,2012-11-03 01:10:48,False,0.0,False,44.0,16212.0,7413.0,True,False
819469681383837697,SedziaPilkarski,502,256,2017-01-12 09:02:51,False,0.0,False,0.0,171.0,230.0,True,False
2234336261,WlodarP7,13072,570,2013-12-20 07:25:08,False,0.0,False,20.0,2570.0,1161.0,True,False
848603555451867137,PiotrWolosik,32083,1178,2017-04-02 18:30:28,False,1.0,False,88.0,70396.0,35495.0,False,False
885615625879638016,Dziekanowski10,6615,184,2017-07-13 21:43:13,False,1.0,False,14.0,620.0,102.0,False,False
889468976002195457,RadekKister,1,47,2017-07-24 12:55:04,False,0.0,False,0.0,2.0,0.0,True,True
1224740726,BasalajJanusz,38485,301,2013-02-27 12:46:36,False,0.0,False,128.0,9844.0,14869.0,True,False
633772403,kamilglik25,157281,334,2012-07-12 14:22:09,False,1.0,True,400.0,6625.0,3459.0,True,False
2395130088,kkazmierczak15,348,723,2014-03-17 21:34:41,False,1.0,False,2.0,8812.0,4301.0,True,False
2282481214,GrosickiKamil,191342,402,2014-01-14 22:41:08,False,0.0,True,238.0,3657.0,2968.0,False,False
1144616264,Maciej_Sawicki,39743,836,2013-02-03 08:46:43,False,0.0,False,88.0,3668.0,1967.0,True,False
814946895047094272,futbolownia,2353,676,2016-12-30 21:30:55,False,1.0,False,5.0,14117.0,5064.0,True,False
266894164,mRokuszewski,17648,884,2011-03-16 00:32:51,False,1.0,False,42.0,8465.0,11800.0,False,False
1156620560,s_staszewski,20143,436,2013-02-07 09:35:51,False,1.0,False,60.0,11790.0,21632.0,False,False
2856601655,Pazdekk,52985,93,2014-11-02 11:24:26,False,1.0,False,92.0,46.0,102.0,True,False
1007400288,fkapica,46967,500,2012-12-12 22:04:19,False,1.0,False,146.0,22877.0,7675.0,False,False
1038445710910402563,wichniarek18,23848,38,2018-09-08 15:15:25,False,0.0,False,38.0,7653.0,22080.0,True,False
1203774390086881280,MichaListkiewi1,3699,280,2019-12-08 20:33:13,False,0.0,False,5.0,1162.0,803.0,True,False
2539019799,m_bartoszek77,4161,1060,2014-05-10 13:07:15,False,0.0,False,8.0,3883.0,198.0,True,False
958408776784252929,PZPNGrassroots,5747,463,2018-01-30 18:37:13,False,1.0,False,6.0,2773.0,2489.0,False,False
1286039292,GrzegKrychowiak,353936,74,2013-03-21 14:02:18,False,0.0,True,515.0,1602.0,2242.0,False,False
520544176,combatsports06,6969,0,2012-03-10 16:41:26,False,1.0,False,29.0,2.0,8409.0,False,False
1052987240685756417,k_jagiello0501,155,379,2018-10-18 18:18:16,False,0.0,False,1.0,2775.0,1698.0,True,True
1121980682,PanZdzichuPL,6969,89,2013-01-26 13:20:06,False,0.0,False,9.0,1041.0,323.0,True,False
344801362,DavidLuiz_4,8852971,200,2011-07-29 16:17:52,False,1.0,True,7854.0,257.0,2417.0,False,False
279185985,JakubRzezniczak,208433,412,2011-04-08 19:21:10,False,1.0,True,167.0,30913.0,16010.0,False,False
593570736,pawel_kapusta,11601,600,2012-05-29 08:00:07,False,1.0,False,62.0,11180.0,12960.0,False,False
899623928,matiswiecicki,103567,1077,2012-10-23 10:04:10,False,1.0,False,210.0,48592.0,55709.0,False,False
68979141,JohnTerryGMF,182606,2,2009-08-26 13:40:38,False,0.0,False,586.0,0.0,2781.0,True,False
100182356,rkasprzyk,60,284,2009-12-29 09:17:17,False,1.0,False,0.0,132.0,83.0,False,False
